,ls3,a4,soct2,idio2,np1,it1,l1b,prot3,vic1ext,aoj11,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,m1,m2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,media3,media4,pn4,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,usmex1,exc7new,vb1,vb2,vb3n,usvb1011,pol1,usvb20,aca6,q1,q2,q5a,q5b,q3c,q10new,q11n,q12bn,q12,q12m,q12f,etid,www1,gi0
552,1,70,2,2,2,3,6,2,2,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,6,6,3,3,3,3,3,3,4,2,3,4,4,3,4,4,3,2,2,2,2,2,1,2,2,NA,4002,4,1,7,2,37,5,2,1,17,2,2,2,1,1,1,1,1
553,1,13,2,1,2,1,5,2,2,1,5,6,7,6,5,7,6,7,7,6,1,5,7,6,5,3,2,1,4,6,7,6,7,6,7,4,1,10,10,4,9,10,10,2,2,2,2,1,2,2,2,NA,4002,1,2,1,1,33,1,1,1,3,1,0,0,NA,NA,4,1,1
554,2,15,3,2,2,2,1,2,2,2,4,1,2,1,6,7,7,3,5,3,1,4,5,3,5,5,4,3,1,3,7,3,7,5,6,6,3,2,9,5,9,10,1,2,2,2,2,3,2,1,1,4001,4002,1,2,3,2,65,5,1,2,5,4,0,1,0,1,4,1,1
555,3,15,3,3,2,3,4,2,2,3,4,1,3,3,4,4,4,2,5,4,1,5,5,2,5,5,1,1,1,6,5,1,5,4,5,4,3,10,10,10,10,10,10,2,2,2,2,1,4,1,1,4001,4002,2,2,5,1,50,5,4,11,15,1,0,0,NA,NA,1,1,1
556,2,59,3,3,2,2,6,2,2,2,4,2,1,2,4,7,7,1,2,1,1,6,4,4,5,5,2,2,1,7,7,1,4,1,4,1,2,5,6,1,6,7,1,2,2,2,1,1,3,1,1,4001,4002,1,2,4,1,67,3,1,2,16,2,0,0,NA,NA,4,2,1
557,2,15,3,3,2,1,5,2,2,1,3,3,3,5,7,7,5,1,4,4,1,5,4,6,5,5,1,2,1,6,7,3,5,4,5,6,2,10,10,10,10,10,10,2,2,2,2,3,4,1,1,4001,4003,1,2,4,2,90,2,3,1,11,6,0,2,2,0,1,1,1
558,2,59,1,2,2,2,4,2,2,1,5,6,6,6,6,7,6,1,6,1,1,6,4,6,5,4,1,2,1,4,7,6,6,3,5,5,2,9,9,7,7,10,10,2,2,2,2,1,3,1,1,4001,4003,1,2,4,1,80,5,3,77,6,2,0,5,4,1,1,1,1
559,1,17,1,2,2,1,9,2,2,1,6,6,6,7,7,7,7,5,7,5,6,6,4,6,2,3,1,1,1,1,7,4,6,7,1,6,1,10,10,1,3,10,1,2,2,2,2,3,2,1,1,4002,4001,1,3,4,1,82,2,1,1,15,2,0,5,4,1,1,1,1
560,1,13,1,2,2,2,6,2,1,2,5,3,6,6,6,7,6,2,6,2,7,4,1,4,1,4,1,2,1,1,7,2,7,4,1,7,2,8,10,8,9,10,10,2,3,3,2,3,4,1,1,4002,4003,1,3,3,2,62,5,4,4,8,6,0,3,1,2,1,1,1
561,2,58,2,2,2,2,3,2,2,1,3,2,3,2,2,3,5,2,3,2,1,4,3,4,5,4,2,2,3,5,5,2,4,1,4,4,3,10,10,10,10,10,10,2,2,2,1,1,3,1,1,4001,4002,3,2,1,2,54,2,2,1,10,2,0,0,NA,NA,1,1,2
562,1,59,2,2,2,2,10,2,2,1,4,2,5,5,5,7,6,1,6,1,5,6,1,5,2,4,1,1,1,1,7,1,5,7,1,7,1,8,10,10,10,10,1,2,2,2,2,2,4,1,1,4002,4001,1,3,1,1,43,1,1,1,13,2,5,5,2,3,1,1,1
563,2,57,2,2,2,2,3,2,2,2,5,5,6,4,6,7,6,4,6,5,1,5,3,2,5,3,2,1,2,4,6,1,4,3,2,5,2,10,10,10,10,10,10,2,2,2,1,3,2,1,1,4001,4002,2,2,1,2,44,4,3,4,7,5,1,1,1,0,1,1,1
564,2,59,2,2,2,1,4,1,2,1,3,1,3,1,3,4,4,1,3,1,1,3,4,3,5,5,4,3,1,5,4,1,5,3,3,6,4,10,10,1,5,7,1,1,2,1,1,3,4,1,1,0,4003,1,5,2,2,61,4,2,3,13,2,0,1,1,0,1,1,1
565,3,3,2,1,2,1,6,2,2,1,7,7,5,6,7,7,7,5,7,6,6,6,5,5,3,3,1,2,4,7,7,7,1,7,7,7,2,10,10,10,10,5,5,2,2,2,2,3,2,1,2,NA,4002,4,2,7,2,35,4,1,3,11,2,4,4,2,2,4004,1,2
566,2,15,1,2,2,2,3,2,2,1,5,6,4,5,6,5,5,3,6,3,1,5,6,6,5,4,1,1,2,5,5,4,6,4,6,5,2,9,10,8,9,10,10,2,2,2,2,3,2,1,1,4001,4002,2,2,3,2,63,5,4,4,8,2,0,3,2,1,1,1,1
567,2,3,2,2,2,2,4,2,2,2,4,1,4,4,3,4,3,1,2,1,1,2,3,3,5,5,2,2,1,4,4,1,3,4,4,4,3,7,6,6,6,6,5,3,3,2,1,3,3,1,2,NA,77,3,1,1,2,43,2,1,12,16,1,2,4,2,2,4003,1,2
568,2,33,2,2,2,2,5,2,2,2,5,5,6,7,7,7,7,6,7,5,6,5,5,6,4,4,1,1,1,5,7,6,5,6,5,5,2,8,8,5,7,10,10,3,3,3,3,3,4,1,1,4002,4001,2,3,4,2,75,5,1,1,3,4,0,3,1,2,1,1,1
569,1,1,2,2,2,1,5,2,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,1,10,10,10,10,10,10,2,2,2,2,1,5,1,1,4002,4003,1,5,5,1,36,1,1,5,16,3,0,0,NA,NA,1,1,1
570,2,13,3,3,2,3,6,2,1,3,4,2,2,3,5,7,7,1,4,1,1,4,6,3,5,5,2,2,1,5,7,1,6,6,4,7,3,10,10,10,10,10,10,2,2,2,1,3,5,1,1,4001,4003,2,2,4,1,72,5,3,2,12,2,0,4,2,2,1,1,1
571,1,3,3,3,2,2,6,2,2,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,4,2,6,5,5,5,4,4,3,3,3,3,2,1,1,1,4001,4001,3,4,5,2,52,1,1,3,6,2,0,2,0,2,1,1,1
572,1,15,1,1,2,2,9,2,2,1,2,1,3,4,3,3,6,1,2,1,6,3,1,3,1,4,2,2,1,1,7,1,6,6,1,5,3,10,10,10,7,8,1,2,2,2,2,3,4,1,1,4002,4003,1,3,4,1,83,5,2,1,13,1,0,0,NA,NA,1,1,1
573,2,58,3,2,2,2,1,1,1,2,3,4,3,2,2,1,1,2,1,2,1,1,2,2,5,4,2,2,4,7,4,5,7,2,2,5,3,10,10,10,10,10,10,1,2,2,1,1,4,1,1,4001,4002,1,2,2,2,52,5,4,77,11,2,0,1,0,1,1,1,1
